,measurement,timestamp_pulse_id,imageid,separation_um,balance,snr_db,pixis_profile_avg_width,crop_px,xi_um_guess,sigma_x_F_gamma_um_multiplier,xatol,sigma_F_gamma_um_opt_v2,xi_x_um_v2,xi_y_um_v2,chi2distance_deconvmethod_2d_v2
63,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038399,3,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,425.32353262663713,602.418295699614,92.882398935716
64,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039399,29,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,480.3183316142407,229.26726458687904,176.463682047828
65,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039299,24,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,493.3220039581946,217.13011048642585,136.70930894352395
66,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038439,5,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,489.9386974411245,386.8907259440413,341.16001673105137
67,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038479,7,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,399.48293929053375,483.1572932376331,234.40765174241147
68,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548040239,45,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,458.81095337471737,364.6334303969905,74.68126477257292
69,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038379,2,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,470.42447838393554,351.11273878084063,131.23594833808835
70,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039799,36,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,486.4395844113551,375.4203844910063,432.1955307667824
71,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039279,23,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,497.7953191151445,602.4182956994988,196.48272750237425
72,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548040299,48,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,492.95469320008,435.5178842026447,99.09197148552936
73,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038859,14,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,449.2174516014804,435.51788420264495,229.3668065633452
74,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038919,17,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,485.9833164388662,483.1572932376336,57.270510990831085
75,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039779,35,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,464.4574745239251,379.6731015613233,185.1241640885121
76,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039459,32,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,518.4962430578074,435.5178842026449,131.92664895223
77,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039879,40,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,432.3790910224847,347.69833176407803,143.90979527796813
78,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038339,0,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,450.9703431857131,267.32286044065995,258.6506226826583
79,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548040359,51,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,478.20578236508953,483.1572932376314,105.82194216798814
80,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038519,9,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,439.8692828021861,770.6589023816088,351.23395189929033
81,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038839,13,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,488.6632265529576,331.9700175285527,142.8974318635464
82,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039759,34,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,409.7118309751591,483.15729323763713,288.4076444151532
83,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548040259,46,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,462.3965803493106,392.3439938042961,415.5767624055974
84,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039379,28,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,473.0474415258428,300.3978865769382,230.727182640064
85,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038499,8,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,466.5359354763917,483.1572932376323,186.25952544222656
86,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039739,33,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,506.9632760791418,342.130700490109,394.5555321255042
87,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038899,16,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,481.8517354825957,300.3978865769381,249.59960137125265
88,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548040199,43,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,480.58299043876366,487.2472178957804,247.84052274685845
89,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038539,10,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,494.282380981828,530.6441297387879,138.56443743261804
90,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548040379,52,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,438.2989625101389,602.418295699326,287.4086627463576
91,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039899,41,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,478.7690229629048,483.1572932376325,489.1214129253168
