,measurement,timestamp_pulse_id,imageid,separation_um,balance,xi_um_guess,crop_px,snr_db,sigma_x_F_gamma_um_multiplier,pixis_profile_avg_width,sigma_F_gamma_um_opt_v3,xi_x_um_v3,xi_y_um_v3,chi2distance_deconvmethod_2d_v3,chi2distance_deconvmethod_1d_v3,xi_um_v3
77,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039879,40,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,46.00895034192337,437.2638194800281
78,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038339,0,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,72.56418711374671,458.71909541311607
79,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548040359,51,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,36.48532954053741,485.46951810572335
80,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038519,9,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,235.0039012037392,455.4306081848944
81,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038839,13,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,28.06796224798356,494.9170859541586
82,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039759,34,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,82.64864894227728,417.296461295595
83,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548040259,46,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,85.25700696620476,462.5096193578575
84,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039379,28,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,86.67961146800621,473.38468484037423
85,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038499,8,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,35.61432574298065,481.1266808733288
86,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039739,33,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,167.5506628866335,510.5455817286966
87,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038899,16,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,87.87952246502421,485.6946989601413
88,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548040199,43,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,55.50432978852175,497.5514416752154
89,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038539,10,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,27.783886797150306,502.0087804900601
90,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548040379,52,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,37.017632863163264,445.6053572064797
91,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039899,41,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,316.0469918427753,488.2226755756881
92,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039859,39,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,74.33646635939158,523.8157458549746
93,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038979,20,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,36.66291491446115,520.6094982267451
94,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039819,37,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,71.40294307810997,463.5557064837207
95,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548040319,49,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,119.78827409412273,483.1355087158992
96,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038459,6,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,93.68606709341086,536.6298643291397
